word,count
so,4657
have,2934
person,2093
haben,2039
go,2023
do,1907
also,1666
get,1539
geben,1534
be,1428
think,1412
know,1390
say,1364
sagen,1342
when,1339
make,1284
now,1284
see,1274
just,1254
sehen,1244
