filepath,filename,folder,language,discipline,tokens,sentences,pairs,tokens_per_sentence
conllu/conllu_file/de/Psy/Psy7_de.conllu,Psy7_de.conllu,conllu/conllu_file/de/Psy,de,Psy,1394,90,89,15.488888888888889
conllu/conllu_file/de/Psy/Psy8_de.conllu,Psy8_de.conllu,conllu/conllu_file/de/Psy,de,Psy,1812,128,127,14.15625
conllu/conllu_file/de/Psy/Psy9_de.conllu,Psy9_de.conllu,conllu/conllu_file/de/Psy,de,Psy,1883,108,107,17.435185185185187
conllu/conllu_file/en/Art/Art10_en.conllu,Art10_en.conllu,conllu/conllu_file/en/Art,en,Art,988,40,39,24.7
conllu/conllu_file/en/Art/Art11_en.conllu,Art11_en.conllu,conllu/conllu_file/en/Art,en,Art,3883,181,180,21.45303867403315
conllu/conllu_file/en/Art/Art12_en.conllu,Art12_en.conllu,conllu/conllu_file/en/Art,en,Art,4118,229,228,17.982532751091703
conllu/conllu_file/en/Art/Art13_en.conllu,Art13_en.conllu,conllu/conllu_file/en/Art,en,Art,4063,215,214,18.89767441860465
conllu/conllu_file/en/Art/Art14_en.conllu,Art14_en.conllu,conllu/conllu_file/en/Art,en,Art,2593,149,148,17.40268456375839
conllu/conllu_file/en/Art/Art15_en.conllu,Art15_en.conllu,conllu/conllu_file/en/Art,en,Art,2701,132,131,20.46212121212121
conllu/conllu_file/en/Art/Art16_en.conllu,Art16_en.conllu,conllu/conllu_file/en/Art,en,Art,4070,203,202,20.049261083743843
conllu/conllu_file/en/Art/Art1_en.conllu,Art1_en.conllu,conllu/conllu_file/en/Art,en,Art,2077,112,111,18.544642857142858
conllu/conllu_file/en/Art/Art2_en.conllu,Art2_en.conllu,conllu/conllu_file/en/Art,en,Art,3115,170,169,18.323529411764707
conllu/conllu_file/en/Art/Art3_en.conllu,Art3_en.conllu,conllu/conllu_file/en/Art,en,Art,1539,75,74,20.52
conllu/conllu_file/en/Art/Art4_en.conllu,Art4_en.conllu,conllu/conllu_file/en/Art,en,Art,1711,75,74,22.813333333333333
conllu/conllu_file/en/Art/Art5_en.conllu,Art5_en.conllu,conllu/conllu_file/en/Art,en,Art,2220,146,145,15.205479452054794
conllu/conllu_file/en/Art/Art6_en.conllu,Art6_en.conllu,conllu/conllu_file/en/Art,en,Art,2418,94,93,25.72340425531915
conllu/conllu_file/en/Art/Art7_en.conllu,Art7_en.conllu,conllu/conllu_file/en/Art,en,Art,3612,230,229,15.704347826086957
conllu/conllu_file/en/Art/Art8_en.conllu,Art8_en.conllu,conllu/conllu_file/en/Art,en,Art,1916,98,97,19.551020408163264
conllu/conllu_file/en/Art/Art9_en.conllu,Art9_en.conllu,conllu/conllu_file/en/Art,en,Art,966,61,60,15.836065573770492
conllu/conllu_file/en/Bus/Bus10_en.conllu,Bus10_en.conllu,conllu/conllu_file/en/Bus,en,Bus,2998,150,149,19.986666666666668
conllu/conllu_file/en/Bus/Bus11_en.conllu,Bus11_en.conllu,conllu/conllu_file/en/Bus,en,Bus,2303,94,93,24.5
conllu/conllu_file/en/Bus/Bus12_en.conllu,Bus12_en.conllu,conllu/conllu_file/en/Bus,en,Bus,3666,213,212,17.211267605633804
conllu/conllu_file/en/Bus/Bus13_en.conllu,Bus13_en.conllu,conllu/conllu_file/en/Bus,en,Bus,2327,117,116,19.88888888888889
