word,count
auch,2068
so,1966
haben,1646
dann,1521
machen,1126
sagen,1040
da,1027
jetzt,929
ganz,846
noch,834
mal,828
also,797
geben,783
ja,783
gehen,772
nur,717
mensch,715
gut,668
hier,659
immer,628
